SKU,Rangsutra Online,location
EDW/5/19/HOME/77X33PATTU/22/EXTRAWEF/BK-NT,10,rs_online
EDW/5/19/HOME/77X33PATTU/22/EXTRAWEF/MUS-NT,7,rs_online
MUSTERD/09/19/HM/18X18/NAPKIN/01/E.W CHECK/MS,6,rs_online
MUSTERD/09/19/HM/18X18/NAPKIN/02/E.W STRIP/MS,3,rs_online
MUSTERD/09/19/HM/14X18/MAT/03/E.WEFT/MS,11,rs_online
MUSTERD/09/19/HM/16X16/C.C/05/E.WEFT/MS,0,rs_online
MUSTERD/09/19/HM/16X16/C.C/04/E.WEFT/MS,0,rs_online
BLACK&WHITE/09/19/HM/16X16/C.C/08/E.WEFT/BK,1,rs_online
BLACK&WHITE/09/19/HM/YOGA BAG/09/E.WEFT/BK,6,rs_online
BLACK&WHITE/09/19/HM/YOGA BAG/10/E.WEFT/BK,6,rs_online
SARUS/07/19/WW/STRAP DRESS/01/VGS STRIP/PK/L,1,rs_online
SARUS/07/19/WW/STRAP DRESS/01/VGS STRIP/PK/M,1,rs_online
SARUS/07/19/WW/STRAP DRESS/01/VGS STRIP/PK/S,2,rs_online
HIRAV/08/19/MN/BUSHIRT/01/DOBBY/GR/XL,2,rs_online
HIRAV/08/19/MN/BUSHIRT/01/DOBBY/GR/L,6,rs_online
HIRAV/08/19/MN/BUSHIRT/01/DOBBY/GR/M,6,rs_online
HIRAV/08/19/MN/BUSHIRT/01/DOBBY/GR/S,4,rs_online
HIRAV/08/19/MN/LONG KRT/03/DOBBY/MR/XL,4,rs_online
HIRAV/08/19/MN/LONG KRT/03/DOBBY/MR/L,6,rs_online
HIRAV/08/19/MN/LONG KRT/03/DOBBY/MR/M,6,rs_online
HIRAV/08/19/MN/LONG KRT/03/DOBBY/MR/S,1,rs_online
HIRAV/08/19/MN/LONG KRT/03/DOBBY/GR/XL,4,rs_online
HIRAV/08/19/MN/LONG KRT/03/DOBBY/GR/L,8,rs_online
HIRAV/08/19/MN/LONG KRT/03/DOBBY/GR/M,8,rs_online
HIRAV/08/19/MN/LONG KRT/03/DOBBY/GR/S,4,rs_online
HIRAV/08/19/MN/FS SHIRT/04/DOBBY/GR/XL,6,rs_online
HIRAV/08/19/MN/FS SHIRT/04/DOBBY/GR/L,6,rs_online
HIRAV/08/19/MN/FS SHIRT/04/DOBBY/GR/M,4,rs_online
HIRAV/08/19/MN/FS SHIRT/04/DOBBY/GR/S,4,rs_online
HIRAV/08/19/MN/BUSHIRT/01/DOBBY/MR/XL,4,rs_online
HIRAV/08/19/MN/BUSHIRT/01/DOBBY/MR/L,6,rs_online
HIRAV/08/19/MN/BUSHIRT/01/DOBBY/MR/M,7,rs_online
HIRAV/08/19/MN/BUSHIRT/01/DOBBY/MR/S,3,rs_online
HIRAV/08/19/MN/SHORT KRT/02/DOBBY/MR/XL,4,rs_online
HIRAV/08/19/MN/SHORT KRT/02/DOBBY/MR/SL,6,rs_online
HIRAV/08/19/MN/SHORT KRT/02/DOBBY/MR/M,6,rs_online
HIRAV/08/19/MN/SHORT KRT/02/DOBBY/MR/S,4,rs_online
HIRAV/08/19/MN/SHORT KRT/02/DOBBY/GR/XL,5,rs_online
HIRAV/08/19/MN/SHORT KRT/02/DOBBY/GR/L,8,rs_online
HIRAV/08/19/MN/SHORT KRT/02/DOBBY/GR/M,8,rs_online
HIRAV/08/19/MN/SHORT KRT/02/DOBBY/GR/S,4,rs_online
HIRAV/08/19/MN/FS SHIRT/04/DOBBY/MR/XL,6,rs_online
HIRAV/08/19/MN/FS SHIRT/04/DOBBY/MR/L,6,rs_online
HIRAV/08/19/MN/FS SHIRT/04/DOBBY/MR/M,4,rs_online
HIRAV/08/19/MN/FS SHIRT/04/DOBBY/MR/S,3,rs_online
CHUKAR/07/19/WW/HALTER TOP/08/AJRAKH/YL/XL,0,rs_online
CHUKAR/07/19/WW/HALTER TOP/08/AJRAKH/YL/L,3,rs_online
CHUKAR/07/19/WW/HALTER TOP/08/AJRAKH/YL,0,rs_online
CHUKAR/07/19/WW/HALTER TOP/08/AJRAKH/YL,0,rs_online
CHUKAR/07/19/WI/ALINE KRT FRONT PATTI/02/AJRAKH/YL/XL,0,rs_online
CHUKAR/07/19/WI/ALINE KRT FRONT PATTI/02/AJRAKH/YL/L,0,rs_online
CHUKAR/07/19/WI/ALINE KRT FRONT PATTI/02/AJRAKH/YL/M,0,rs_online
CHUKAR/07/19/WI/ALINE KRT FRONT PATTI/02/AJRAKH/YL/S,0,rs_online
CHUKAR/07/19/WW/SHORT KRT OVERLAP /09/AJRAKH/GR/XL,1,rs_online
CHUKAR/07/19/WW/SHORT KRT OVERLAP /09/AJRAKH/GR/L,0,rs_online
CHUKAR/07/19/WW/SHORT KRT OVERLAP /09/AJRAKH/GR/M,0,rs_online
CHUKAR/07/19/WW/SHORT KRT OVERLAP /09/AJRAKH/GR/S,3,rs_online
NONGIN/07/19/WW/SKRT BACK PLACKET/04/MANIPUR/ON/XL,1,rs_online
NONGIN/07/19/WW/SKRT BACK PLACKET/04/MANIPUR/ON/L,2,rs_online
NONGIN/07/19/WW/SKRT BACK PLACKET/04/MANIPUR/ON/M,1,rs_online
NONGIN/07/19/WW/SKRT BACK PLACKET/04/MANIPUR/ON/S,2,rs_online
NONGIN/07/19/WW/SKRT BACK PLACKET/04/MANIPUR/TL-4,2,rs_online
NONGIN/07/19/WW/SKRT BACK PLACKET/04/MANIPUR/TL/L,2,rs_online
NONGIN/07/19/WW/SKRT BACK PLACKET/04/MANIPUR/TL-2,3,rs_online
NONGIN/07/19/WW/SKRT BACK PLACKET/04/MANIPUR/TL-1,2,rs_online
NONGIN/07/19/WW/FLYER YOKE DRESS/02/MANIPUR/TL/XL,0,rs_online
NONGIN/07/19/WW/FLYER YOKE DRESS/02/MANIPUR/TL/L,0,rs_online
NONGIN/07/19/WW/FLYER YOKE DRESS/02/MANIPUR/TL/M,5,rs_online
NONGIN/07/19/WW/FLYER YOKE DRESS/02/MANIPUR/TL/S,0,rs_online
NONGIN/07/19/WW/FLYER YOKE DRESS/02/MANIPUR/ON-4,0,rs_online
NONGIN/07/19/WW/FLYER YOKE DRESS/02/MANIPUR/ON/L,2,rs_online
NONGIN/07/19/WW/FLYER YOKE DRESS/02/MANIPUR/ON/M,2,rs_online
NONGIN/07/19/WW/FLYER YOKE DRESS/02/MANIPUR/ON/S,0,rs_online
NONGIN/07/19/WW/FRONT OPEN JKT/05/MANIPUR/ON,0,rs_online
NONGIN/07/19/WW/FRONT OPEN JKT/05/MANIPUR/ON/M,1,rs_online
NONGIN/07/19/WW/FRONT OPEN JKT/05/MANIPUR/ON,0,rs_online
NONGIN/07/19/WW/FRONT OPEN JKT/05/MANIPUR/TL-3,2,rs_online
NONGIN/07/19/WW/FRONT OPEN JKT/05/MANIPUR/TL/M,4,rs_online
NONGIN/07/19/WW/FRONT OPEN JKT/05/MANIPUR/TL/S,1,rs_online
NONGIN/07/19/WI/LKRT LESS/03/MANIPUR/TL/XL,0,rs_online
NONGIN/07/19/WI/LKRT LESS/03/MANIPUR/TL/L,2,rs_online
NONGIN/07/19/WI/LKRT LESS/03/MANIPUR/TL/M,4,rs_online
NONGIN/07/19/WI/LKRT LESS/03/MANIPUR/TL/S,0,rs_online
NONGIN/07/19/WW/STRIP DRESS/01/MANIPUR/TL/L,1,rs_online
NONGIN/07/19/WW/STRIP DRESS/01/MANIPUR/TL/M,2,rs_online
NONGIN/07/19/WW/STRIP DRESS/01/MANIPUR/TL/S,1,rs_online
NONGIN/07/19/WW/STRIP DRESS/01/MANIPUR/ON/L,0,rs_online
NONGIN/07/19/WW/STRIP DRESS/01/MANIPUR/ON/M,3,rs_online
NONGIN/07/19/WW/STRIP DRESS/01/MANIPUR/ON/S,1,rs_online
NONGIN/07/19/WI/LKRT LESS/03/MANIPUR/ON/XL,0,rs_online
NONGIN/07/19/WI/LKRT LESS/03/MANIPUR/ON/L,-2,rs_online
NONGIN/07/19/WI/LKRT LESS/03/MANIPUR/ON/M,-4,rs_online
NONGIN/07/19/WI/LKRT LESS/03/MANIPUR/ON/S,-2,rs_online
SARUS/07/19/WW/SHIRT TOP/03/VGS STRIP/GR/L,2,rs_online
SARUS/07/19/WW/SHIRT TOP/03/VGS STRIP/GR/M,2,rs_online
SARUS/07/19/WW/SHIRT TOP/03/VGS STRIP/GR/S,3,rs_online
SARUS/07/19/WW/SHIRT TOP/03/VGS STRIP/PK/L,2,rs_online
